Representative,ReportDate,TransactionDate,Ticker,Transaction,Range,House,Amount,Party,last_modified
Kevin Hern,2024-03-12,2024-02-13,TXN,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-13
Kevin Hern,2024-03-12,2024-02-13,TXN,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-13
Suzan K. Delbene,2024-03-08,2024-02-29,MSFT,Sale,"$100,001 - $250,000",Representatives,100001.0,D,2024-03-11
Josh Gottheimer,2024-03-07,2024-02-29,FCX,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-08
Pete Sessions,2024-03-07,2024-02-29,V,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-08
Virginia Foxx,2024-03-07,2024-02-28,DUK$A,Sale,"$50,001 - $100,000",Representatives,50001.0,R,2024-03-08
Virginia Foxx,2024-03-07,2024-02-27,ASC,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-08
Michael C. Burgess,2024-03-07,2024-02-26,BBY,Sale,"$15,001 - $50,000",Representatives,15001.0,R,2024-03-08
Virginia Foxx,2024-03-07,2024-02-26,ARLP,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-26,LRLCY,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-08
Virginia Foxx,2024-03-07,2024-02-26,FLNG,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-08
Michael C. Burgess,2024-03-07,2024-02-23,BBY,Sale,"$15,001 - $50,000",Representatives,15001.0,R,2024-03-08
Virginia Foxx,2024-03-07,2024-02-23,FLNG,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-08
Virginia Foxx,2024-03-07,2024-02-23,ASC,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-08
Virginia Foxx,2024-03-07,2024-02-23,ARLP,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-22,AMD,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-21,PANW,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-08
Virginia Foxx,2024-03-07,2024-02-21,ET,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-08
Virginia Foxx,2024-03-07,2024-02-15,ASC,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-08
Virginia Foxx,2024-03-07,2024-02-15,ARLP,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-13,MSFT,Purchase,"$1,000,001 - $5,000,000",Representatives,1000001.0,D,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-13,MSFT,Sale,"$1,000,001 - $5,000,000",Representatives,1000001.0,D,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-13,MSFT,Purchase,"$500,001 - $1,000,000",Representatives,500001.0,D,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-13,CHRD,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-13,MSFT,Sale,"$500,001 - $1,000,000",Representatives,500001.0,D,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-13,TEX,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-13,DBSDY,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-12,MSFT,Sale,"$1,000,001 - $5,000,000",Representatives,1000001.0,D,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-12,MSFT,Purchase,"$1,000,001 - $5,000,000",Representatives,1000001.0,D,2024-03-08
Michael C. Burgess,2024-03-07,2024-02-12,ILMN,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-12,CTSH,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-08
Michael C. Burgess,2024-03-07,2024-02-12,ILMN,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-12,MSFT,Purchase,"$1,000,001 - $5,000,000",Representatives,1000001.0,D,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-12,MSFT,Sale,"$1,000,001 - $5,000,000",Representatives,1000001.0,D,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-12,MSFT,Purchase,"$500,001 - $1,000,000",Representatives,500001.0,D,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-12,MSFT,Sale,"$500,001 - $1,000,000",Representatives,500001.0,D,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-12,MSFT,Purchase,"$1,000,001 - $5,000,000",Representatives,1000001.0,D,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-12,MSFT,Purchase,"$1,000,001 - $5,000,000",Representatives,1000001.0,D,2024-03-08
Michael C. Burgess,2024-03-07,2024-02-12,ILMN,Purchase,"$15,001 - $50,000",Representatives,15001.0,R,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-12,MSFT,Sale,"$1,000,001 - $5,000,000",Representatives,1000001.0,D,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-12,MSFT,Sale,"$1,000,001 - $5,000,000",Representatives,1000001.0,D,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-09,BKNG,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-08
Michael C. Burgess,2024-03-07,2024-02-09,PANW,Sale,"$15,001 - $50,000",Representatives,15001.0,R,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-09,TSM,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-08
Virginia Foxx,2024-03-07,2024-02-09,FLNG,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-08,BKNG,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-08,KKR,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-08,MDB,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-08,NVDA,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-08,REGN,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-08,NFLX,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-08,LLY,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-08,META,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-08,MSFT,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-08
Virginia Foxx,2024-03-07,2024-02-07,FLNG,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-08
Virginia Foxx,2024-03-07,2024-02-05,ASC,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-08
Virginia Foxx,2024-03-07,2024-02-02,T$A,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-08
Virginia Foxx,2024-03-07,2024-02-02,FLNG,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-01,MS,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-01,TTD,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-01,MRNA,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-01,SCHW,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-01,EXAS,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-01,LNG,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-01,MSCI,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-01,DE,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-08
Virginia Foxx,2024-03-07,2024-02-01,HTGC,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-08
Josh Gottheimer,2024-03-07,2024-02-01,FSLR,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-08
Lloyd Doggett,2024-03-05,2024-02-15,PG,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-06
Thomas R. Carper,2024-03-04,2024-02-16,EQNR,Sale (Full),"$1,001 - $15,000",Senate,1001.0,D,2024-03-04
Thomas R. Carper,2024-03-04,2024-02-16,TGT,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2024-03-04
Earl Blumenauer,2024-03-02,2024-02-12,PHG,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-05
Earl Blumenauer,2024-03-02,2024-02-12,QCOM,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-05
Earl Blumenauer,2024-03-02,2024-02-12,AMZN,Purchase,"$15,001 - $50,000",Representatives,15001.0,D,2024-03-05
Earl Blumenauer,2024-03-02,2024-02-12,UL,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-05
Earl Blumenauer,2024-03-02,2024-02-12,PFE,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-05
Earl Blumenauer,2024-03-02,2024-02-01,GOOGL,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-05
Pete Sessions,2024-02-29,2024-02-29,AAPL,Purchase,$360.00,Representatives,360.0,R,2024-03-01
Mark Dr Green,2024-02-29,2024-02-26,NGL,Sale,"$50,001 - $100,000",Representatives,50001.0,R,2024-03-01
Pete Sessions,2024-02-29,2024-02-07,MSFT,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-01
Pete Sessions,2024-02-29,2024-01-31,COST,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-01
Nancy Pelosi,2024-02-23,2024-02-21,PANW,Purchase,"$100,001 - $250,000",Representatives,100001.0,D,2024-02-26
Nancy Pelosi,2024-02-23,2024-02-12,PANW,Purchase,"$500,001 - $1,000,000",Representatives,500001.0,D,2024-02-26
Shri Thanedar,2024-02-23,2024-01-25,MSFT,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-26
Shri Thanedar,2024-02-23,2024-01-25,GOOG,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-26
Shri Thanedar,2024-02-23,2024-01-25,BRK.B,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-26
Shri Thanedar,2024-02-23,2024-01-25,AAPL,Sale,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-26
Shri Thanedar,2024-02-23,2024-01-25,GOOG,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-26
Shri Thanedar,2024-02-23,2024-01-25,BRK.B,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-26
Shri Thanedar,2024-02-23,2024-01-25,AMZN,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-26
Shri Thanedar,2024-02-23,2024-01-25,AMZN,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-26
Shri Thanedar,2024-02-23,2024-01-25,MSFT,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-26
Shri Thanedar,2024-02-23,2024-01-25,GOOGL,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-26
Shri Thanedar,2024-02-23,2024-01-25,GOOGL,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-26
Thomas H. Kean Jr.,2024-02-20,2024-01-30,PRNDY,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-21
Thomas H. Kean Jr.,2024-02-20,2024-01-11,BDX,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-21
Richard W. Allen,2024-02-16,2024-01-17,BLK,Sale,"$50,001 - $100,000",Representatives,50001.0,R,2024-02-20
Victoria Spartz,2024-02-15,2024-02-02,SPG,Purchase,"$50,001 - $100,000",Representatives,50001.0,R,2024-02-16
Victoria Spartz,2024-02-15,2024-02-02,SPG,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-16
Victoria Spartz,2024-02-15,2024-02-02,SPG,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-29,ISRG,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-29,ALNY,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-25,NOW,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-25,TSLA,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-25,LRCX,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-25,ON,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-25,APH,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-24,CHRD,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-24,ABG,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-24,LAD,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-24,AGIO,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-24,MEDP,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-24,TPH,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-24,LOW,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-24,AMD,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Garret Graves,2024-02-15,2024-01-19,COIN,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-16
Jonathan Jackson,2024-02-15,2024-01-19,LRCX,Purchase,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-18,TSM,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-18,MSFT,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-18,AAPL,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-18,APD,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Jonathan Jackson,2024-02-15,2024-01-17,W,Sale,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-16
Jonathan Jackson,2024-02-15,2024-01-17,REGN,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-12,SCHW,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Jonathan Jackson,2024-02-15,2024-01-12,CAH,Purchase,"$50,001 - $100,000",Representatives,50001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-11,GTLS,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-11,NCLTY,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-11,ALNY,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-11,ON,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-11,BAP,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-11,PYCR,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-11,SSDOY,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-11,HSHCY,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-11,XNGSY,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-11,PNGAY,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-11,HELE,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-11,PTEN,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-11,ALGM,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-11,OCFC,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-11,SHLS,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-09,LOPE,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Jonathan Jackson,2024-02-15,2024-01-08,INTC,Purchase,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-16
Jonathan Jackson,2024-02-15,2024-01-08,BP,Sale,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-16
Josh Gottheimer,2024-02-15,2024-01-04,SPXC,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-16
Tommy Tuberville,2024-02-14,2024-01-24,INTC,Sale (Full),"$15,001 - $50,000",Senate,15001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-22,META,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-22,AON,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-22,CLF,Sale (Partial),"$15,001 - $50,000",Senate,15001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-22,MNST,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-22,CLF,Sale (Partial),"$15,001 - $50,000",Senate,15001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-22,CLF,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-22,CLF,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-22,CLF,Sale (Partial),"$50,001 - $100,000",Senate,50001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-22,CLF,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-22,SCCO,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-22,CLF,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-22,CLF,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-22,IDXX,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-22,CLF,Sale (Partial),"$50,001 - $100,000",Senate,50001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-22,MMC,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,ADI,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,SSBK,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,PG,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,IBM,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,LRCX,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,SSBK,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,ADSK,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,XP,Sale (Full),"$15,001 - $50,000",Senate,15001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,AMGN,Sale (Full),"$15,001 - $50,000",Senate,15001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,SSBK,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,SSBK,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,SSBK,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,RACE,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,SSBK,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,GNTX,Sale (Full),"$15,001 - $50,000",Senate,15001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,AAPL,Sale (Full),"$250,001 - $500,000",Senate,250001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,SSBK,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,ABBV,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,AME,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,SSBK,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,ADBE,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,APH,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,AMAT,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,NVO,Sale (Full),"$15,001 - $50,000",Senate,15001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,HUMA,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,GOOG,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,AMD,Sale (Full),"$15,001 - $50,000",Senate,15001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,SSBK,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,SSBK,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,CFG,Sale (Full),"$15,001 - $50,000",Senate,15001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,SSBK,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,PAM,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,GOOGL,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-19,SSBK,Sale (Partial),"$15,001 - $50,000",Senate,15001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-10,AAPL,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-03,AAPL,Sale (Partial),"$15,001 - $50,000",Senate,15001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-03,BMY,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-03,LLY,Sale (Partial),"$15,001 - $50,000",Senate,15001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-03,SLF,Sale (Partial),"$15,001 - $50,000",Senate,15001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-03,UNP,Sale (Partial),"$15,001 - $50,000",Senate,15001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-03,DGX,Sale (Partial),"$15,001 - $50,000",Senate,15001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-03,GOOGL,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-03,ORCL,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15
Tommy Tuberville,2024-02-14,2024-01-03,MSFT,Sale (Partial),"$15,001 - $50,000",Senate,15001.0,R,2024-02-15
Shelley Moore Capito,2024-02-14,2024-01-19,ES,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-02-14
Shelley Moore Capito,2024-02-14,2024-01-19,ENB,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-02-14
Robert E. Latta,2024-02-14,2024-01-22,FMAO,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-16
Kevin Hern,2024-02-11,2024-01-31,JPM,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-12
Kevin Hern,2024-02-11,2024-01-12,COST,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-12
Kevin Hern,2024-02-11,2024-01-02,EXAS,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-12
Kevin Hern,2024-02-11,2024-01-02,VUZI,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-12
Dan Sullivan,2024-02-09,2024-01-24,RPM,Sale (Partial),"$15,001 - $50,000",Senate,15001.0,R,2024-02-10
James Calhoun,2024-02-06,2024-02-02,AFRM,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-07
James Calhoun,2024-02-06,2024-02-01,IBM,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,INTU,Sale,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,CAT,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
