,Representative,ReportDate,TransactionDate,Ticker,Transaction,Range,House,Amount,Party,last_modified,return_after_trade
918,Markwayne Mullin,2023-11-01,2023-10-03,CVX,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,3.31990479312301
917,Markwayne Mullin,2023-11-01,2023-10-03,HD,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,2.756164310053393
916,Markwayne Mullin,2023-11-01,2023-10-03,ICE,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,-1.8383352090249712
915,Markwayne Mullin,2023-11-01,2023-10-03,CAT,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,3.144542651319724
914,Markwayne Mullin,2023-11-01,2023-10-03,CMCSA,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,1.626017001764685
924,Markwayne Mullin,2023-11-01,2023-10-03,CMG,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,2.4528842724117492
912,Markwayne Mullin,2023-11-01,2023-10-03,V,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,1.9574139211601949
911,Markwayne Mullin,2023-11-01,2023-10-03,ZTS,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,6.253302342864904
910,Markwayne Mullin,2023-11-01,2023-10-03,JPM,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,1.7849400345195228
909,Markwayne Mullin,2023-11-01,2023-10-03,HON,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,1.3261520244412637
908,Markwayne Mullin,2023-11-01,2023-10-03,AMZN,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,0.7810272439552919
907,Markwayne Mullin,2023-11-01,2023-10-03,STZ,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,1.618202970619877
906,Markwayne Mullin,2023-11-01,2023-10-03,KO,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,1.151668217035192
905,Markwayne Mullin,2023-11-01,2023-10-03,SBUX,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,9.480026061043342
904,Markwayne Mullin,2023-11-01,2023-10-03,CRM,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,2.0597307011978794
903,Markwayne Mullin,2023-11-01,2023-10-03,UNH,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,0.8521500197365384
902,Markwayne Mullin,2023-11-01,2023-10-03,FI,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,2.5058707437315393
913,Markwayne Mullin,2023-11-01,2023-10-03,LLY,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,4.658578622637166
866,Thomas R. Carper,2023-11-02,2023-10-20,HDGE,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2023-11-02,-2.4419484154574955
873,Thomas R. Carper,2023-11-02,2023-10-04,RVNC,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2023-11-02,9.3601895868477
869,Thomas R. Carper,2023-11-02,2023-10-20,HDGE,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2023-11-02,-2.4419484154574955
867,Thomas R. Carper,2023-11-02,2023-10-20,HDGE,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2023-11-02,-2.4419484154574955
810,Tommy Tuberville,2023-11-16,2023-10-17,WU,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-17,0.1666704813639323
811,Tommy Tuberville,2023-11-16,2023-10-17,MPWR,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-17,0.5661363874024197
809,Tommy Tuberville,2023-11-16,2023-10-17,MMC,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-17,-0.23195174308114885
808,Tommy Tuberville,2023-11-16,2023-10-17,NXPI,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-17,0.06972081051829045
806,Tommy Tuberville,2023-11-16,2023-10-17,TXN,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-17,1.7973505421747447
805,Tommy Tuberville,2023-11-16,2023-10-17,TXN,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-17,1.7973505421747447
804,Tommy Tuberville,2023-11-16,2023-10-17,WMS,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-17,0.6652078993911839
802,Tommy Tuberville,2023-11-16,2023-10-17,GGG,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-17,1.2818859456810503
791,Tommy Tuberville,2023-11-16,2023-10-25,CLX,Purchase,"$100,001 - $250,000",Senate,100001.0,R,2023-11-17,0.08629637867957103
798,Tommy Tuberville,2023-11-16,2023-10-17,KO,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-17,0.19247032846444923
797,Tommy Tuberville,2023-11-16,2023-10-17,MMM,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2023-11-17,-0.3865873473214336
796,Tommy Tuberville,2023-11-16,2023-10-17,KO,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-17,0.19247032846444923
